wylie,base_term,sanskrit_rus,sanskrit_eng
bag chags,,васана,vasana
bag la nyal ,,анусая,anusaya
bag med,,прамада,pramada
bag yod,,апрамада,apramada
bar do,,антарабхава,antarabhava
bar do ba,,,
bdag,,атман,atman
bdag dang bdag gir ‘dzin pa,,,
bdag med,,анатма,anatma
bdag nyid,,атман,atman
bdag tu ‘dzin pa,,атма-граха,atma-graha
bde [ba],,сукха,sukha
blo,,буддхи,buddhi
brtags min gyi ‘gog pa,,апратисанкхья-ниродха,apratisamkhya-nirodha
brtson ‘grus,,вирья,virya
bsam gtan,,дхьяна,dhyana
bsam pa,,чинта,cinta
bsgom pa,,бхавана,bhavana
bsgrub pa,,садхъя,sadhya
bsod nams,,пунья,punya
byams pa,,майтри,maitri; maitreya
byang [chub kyi] sems,,бодхичитта,bodhicitta
byang [chub] sems [dpa‘],,бодхисаттва,bodhisattva
byang chub,,бодхи,bodhi
byis pa,,бала,bala
bzung ba,,грхита,grhita 
chad [pa‘i] lta [ba],,уччеда-даршана,uccheda-darsana
chags pa,,рага,raga
chos,,"дхамма, дхарма",Dharma
chos [kyi] dbyings,,дхармадхату,dharmadhatu
chos mngon,,Абхидхарма,abhidharma
chos nyid,,дхармата,dharmata
chos sku,,Дхармакая,dharmakaya
dad pa,,шраддха,sraddha
dag pa,,суддха,suddha
dben pa,,вивикта,vivikta
dbu ma pa,,мадхъямика,madhyamika
de bzhin gshegs pa,,Татхагата,Tathagata
de kho na [nyid],,татхата,"tathata, tattva"
de nyid,,татхата,"tathata, tattva"
dge ba,,кузала,kusala
dge ba‘i bshes gnyen,,кальяна-митра,kalyana-mitra
dgra bcom pa,,архат,arhat
dmigs pa,,аламбана,alambana
dngos po ,,васту,vastu
dngos sgrub,,сиддхи,
don dam,,парамартха,paramartha
dran pa,,смрити,smrti
gang zag,,пудгала,pudgala
gnas lugs,,,
gnyis [su] med [pa],,,
gsal ba,,,
gti mug,,моха,moha
gtso bo,,,
gzhan dbang,,,
gzhi,,,
gzugs,,,
ji snyed pa,,,
khams,,дхату,dhatu
khro ba,,,
klu,,нага,naga
kun rdzob pa‘i bden pa,,,
kun slong,,,samutthana
lam,,марга,marga
las,,карма,karma
log rtog,,,
lta ba,,"даршана, дришти","darsana, drsti"
ma rig pa,,авидья,avidya
med pa,,,
mi dge ba ,,,
mi rigs,,,
mi rtag pa,,анитья,anitya
mi ‘thse ba,,,
mngon par zhen pa,,,
mngon rtog ,,,
mngon sum ,,пратьякша,pratyaksa
mngon sum gyis shes pa,,,
mnyam [par] gzhag [pa],,,
mthar lta,,,
mthar ‘dzin pa,,,
mtshan gzhi,,,
mtshan nyid,,,
myang ‘das,,,
myong ba,,,
nga rgyal,,"мана, ахамкара",mana
ngar ‘dzin ,,,
nges ‘byung,,,
ngo bo ,,,
nyams len,,,siksa
nyan thos [rnams],,шравака,sravaka
nyon mongs,,,
pha rol tu phyin pa,,,
phrin las,,,
phung po,,,
phyag rgya,,мудра,mudra
rang bzhin,,свабхава,svabhava
rang gi mtshan nyid,,,
rang rig,,,
rang sangs rgyas,,пратьекабудда,pratyekabuddha
rdo rje,,ваджра,vajra
rdzas,,,
reg pa,,,
rgyal ba,,джина,jina
rgyud,,,
rig pa,,видья,vidya
rjes su dran pa,,,
rmongs pa,,,
rnam par thar pa ,,,
rnam [par] rtog [pa],,викальпа,vikalpa
rnam shes,,виджняна,vijnana
rtag lta ba,,,
rten,,,
rten [cing] ‘brel [bar ‘byung ba],,пратитья-самутпада,pratitya-samutpada
rtog pa,,,
rtogs pa,,,pratipatti; vidya
sbyin pa ,,дана,dana
sdig pa,,папа,papa
sdug bsngal,,духкха,duhkha
sems,,читта,citta
sems bskyed,,,
sems nyid,,,
sgo gsum,,,
sgom pa,,бхавана,bhavana
sgrib pa,,аварана,avarana
sgro ‘dogs pa,,,
sgyu ma,,,
shes bzhin pa,,,samprajna
shes pa,,,
shes rab,,праджня,prajna
sku gsum,,трикая,trikaya
smon lam,,,
snang,,,
sngags,,мантра,
snying brtse ,,,
snying rje,,каруна,karuna
snying stobs,,,
so sor brtags ‘gog,,,
so sor rtog pa,,,
so sor thar pa,,,
spros pa ,,прапанча,prpanca
sprul sku,,нирманакая,nirmanakaya
spyod pa,,карья,carya
sred pa,,тршна,trsna
srid pa,,,
stong [pa] nyid,,шуньята,sunyata
thams cad mkhyen pa,,сарваджня,sarvajna
thar pa,,мокша,moksa
thos pa,,шрута,sruti
thug pa med pa,,,
ting nge ‘dzin,,самадхи,samadhi
tshul khrims,,"шила, сила",sila
ye shes,,джняна,jnana
yon tan,,гуна,guna
yul,,,
zhe sdang,,двеша,dvesa
zhi ba,,шанти,santi
‘bras bu,,пхала,phala
‘byor ba,,сампад,sampad
‘dod chags,,рага,raga
‘dod pa,,кама,kama
‘du shes,,самджня,samjna
‘dus byas,,самскрта,samskrta
‘dzin pa,,граха,graha
‘gro ba,,гати,gati
‘jig rten,,,
‘jug pa‘i sems,,,
‘khor ba,,сансара; самсара,samsara
‘phags pa,,арья,arya